#                                                                     
# $$\                                                                 
# $$ |                                                                
# $$ |     $$\   $$\ $$$$$$\$$$$\   $$$$$$\  $$$$$$$\                 
# $$ |     $$ |  $$ |$$  _$$  _$$\ $$  __$$\ $$  __$$\                
# $$ |     $$ |  $$ |$$ / $$ / $$ |$$$$$$$$ |$$ |  $$ |               
# $$ |     $$ |  $$ |$$ | $$ | $$ |$$   ____|$$ |  $$ |               
# $$$$$$$$\\$$$$$$  |$$ | $$ | $$ |\$$$$$$$\ $$ |  $$ |               
# \________|\______/ \__| \__| \__| \_______|\__|  \__|               
#                                                                     
#                   Fork Lumen 2.1.0                                  
#                  Branch is bug-fixes                                
#        MPI+OpenMP+SLK+SLEPC+HDF5_MPI_IO Build                       
#               http://www.lumen-code.org                             
#
# Absorption @ Q(1):   1.00000000      0.00000000      0.00000000    [q->0 direction]
#
# [ X ] Hartree size                              :  1
# [GEN] GF Energies                               : Perdew, Burke & Ernzerhof(X)+Perdew, Burke & Ernzerhof(C)
# [GEN] Green`s Function                          : T-ordered
#
# [GEN] Gauge                                     : Length
# [GEN] [r,Vnl] included                          : yes
#
#    E[1] [eV]          Im(eps)            Re(eps)            Im(eps_o)          Re(eps_o)
#
        5.000000           1.947983           2.741068           1.947983           2.741067
        5.037593           2.112553           2.747720           2.112553           2.747719
        5.075188           2.282597           2.715082           2.282597           2.715081
        5.112782           2.444718           2.655955           2.444719           2.655955
        5.150376           2.606786           2.585469           2.606786           2.585469
        5.187970           2.786173           2.488240           2.786172           2.488242
        5.225564           2.962826           2.344323           2.962826           2.344324
        5.263157           3.122022           2.166923           3.122022           2.166924
        5.300752           3.276958           1.954846           3.276958           1.954846
        5.338346           3.414547           1.669467           3.414547           1.669468
        5.375940           3.460874           1.309123           3.460873           1.309124
        5.413534           3.375983           0.959036           3.375983           0.959037
        5.451128           3.221195           0.683360           3.221195           0.683361
        5.488721           3.043435           0.451807           3.043435           0.451808
        5.526316           2.814933           0.261377           2.814932           0.261377
        5.563910           2.563425           0.161356           2.563425           0.161357
        5.601503           2.351035           0.129793           2.351035           0.129793
        5.639097           2.180378           0.114037           2.180378           0.114037
        5.676692           2.015635           0.100167           2.015636           0.100167
        5.714285           1.849373           0.115250           1.849373           0.115250
        5.751880           1.706537           0.161816           1.706537           0.161816
        5.789474           1.593585           0.220002           1.593585           0.220002
        5.827067           1.500916           0.282044           1.500916           0.282045
        5.864661           1.429912           0.350842           1.429912           0.350843
        5.902255           1.384806           0.412099           1.384806           0.412099
        5.939849           1.344732           0.459658           1.344732           0.459657
        5.977444           1.308093           0.513004           1.308093           0.513004
        6.015037           1.289587           0.566493           1.289587           0.566493
        6.052631           1.279959           0.612730           1.279959           0.612730
        6.090225           1.284064           0.662619           1.284064           0.662619
        6.127820           1.317501           0.698656           1.317501           0.698656
        6.165413           1.360632           0.698235           1.360632           0.698236
        6.203007           1.389172           0.671023           1.389172           0.671023
        6.240601           1.403093           0.632506           1.403093           0.632506
        6.278195           1.404936           0.580579           1.404936           0.580579
        6.315789           1.382367           0.517810           1.382367           0.517810
        6.353383           1.332193           0.458877           1.332193           0.458877
        6.390977           1.253446           0.414853           1.253446           0.414853
        6.428571           1.156251           0.410864           1.156251           0.410864
        6.466165           1.079432           0.449104           1.079432           0.449104
        6.503759           1.039568           0.496931           1.039568           0.496931
        6.541353           1.023654           0.533219           1.023654           0.533219
        6.578947           1.019062           0.552137           1.019062           0.552137
        6.616541           1.012423           0.551029           1.012423           0.551029
        6.654135           0.987626           0.538900           0.987626           0.538900
