E[1] [eV],Im(eps)_nk_6,Im(eps)_nk_8,Im(eps)_nk_10,Im(eps)_nk_12,Im(eps)_nk_14,Im(eps)_nk_16,Im(eps)_nk_18
7.142857,0.64275600,0.77869600,0.68388700,0.74893600,0.70870200,0.72686600,0.71635300
7.180451,0.61776500,0.75407400,0.65943200,0.73572800,0.67858200,0.71202600,0.69104000
7.218045,0.60227900,0.72320400,0.63942900,0.71515600,0.65415000,0.69255600,0.67143800
7.255639,0.58950200,0.68304300,0.63356300,0.68236100,0.63999100,0.66802300,0.65302200
7.293232,0.58597700,0.64167400,0.64036300,0.64055200,0.63201300,0.64289700,0.63446100
7.330826,0.59909200,0.61104000,0.64831200,0.60532700,0.62537900,0.62243000,0.61985600
7.368421,0.62750900,0.59314300,0.64329500,0.58727100,0.62362500,0.60690100,0.61485900
7.406014,0.65419900,0.58513600,0.62927700,0.58616400,0.62766700,0.59624000,0.61822200
7.443608,0.65603700,0.58275200,0.61889200,0.59295400,0.63240400,0.59309300,0.62049900
7.481203,0.63605900,0.59439800,0.61889100,0.60338200,0.63395700,0.60342600,0.62170000
7.518797,0.61586000,0.62956600,0.63278700,0.62212100,0.63530500,0.63014000,0.62983000
7.556391,0.60739100,0.67751700,0.66053200,0.65456500,0.64641900,0.66700600,0.64967000
7.593984,0.61612400,0.71648500,0.69392900,0.69937500,0.67015700,0.70364700,0.67884300
7.631578,0.63845400,0.73955400,0.71541900,0.74263700,0.69913900,0.73219900,0.70786000
7.669173,0.67326100,0.74380100,0.71227700,0.75956900,0.71860400,0.74244300,0.72751000
7.706767,0.70840900,0.72531200,0.69162600,0.74016000,0.71728900,0.72752300,0.73025000
7.744360,0.73180400,0.70173600,0.67915100,0.71055700,0.70726600,0.70056700,0.71835000
7.781955,0.75130600,0.69005700,0.68949900,0.69320400,0.70621900,0.68290200,0.70602600
7.819549,0.75882100,0.68690800,0.70949800,0.68409200,0.70991800,0.67801400,0.69808000
7.857142,0.74136300,0.68167100,0.72522300,0.67483200,0.71008600,0.68123600,0.69156200
7.894736,0.72170500,0.68162800,0.73597600,0.67089000,0.71002400,0.69486100,0.69212700
7.932330,0.72929600,0.69094100,0.74080300,0.68867300,0.71766000,0.71836400,0.70541700
7.969924,0.76989300,0.70481000,0.74544600,0.73047800,0.73163500,0.74828800,0.73129900
8.007519,0.82436900,0.72675900,0.76250500,0.77656700,0.75246400,0.78378600,0.76438300
8.045113,0.86299200,0.76091500,0.79942200,0.81331400,0.78780300,0.81663000,0.80118500
8.082706,0.88747300,0.81579200,0.84443500,0.85426000,0.83510700,0.84504400,0.84590600
8.120299,0.91170100,0.88379100,0.89134400,0.90515100,0.88540600,0.88072200,0.89784500
8.157894,0.92879500,0.93856700,0.92862100,0.95344000,0.92941900,0.92200600,0.94367700
8.195488,0.93756900,0.98184100,0.93967700,0.98087100,0.95922400,0.95177400,0.96517900
