E[1] [eV],Im(eps)_nk_6,Im(eps)_nk_8,Im(eps)_nk_10,Im(eps)_nk_12,Im(eps)_nk_14,Im(eps)_nk_16,Im(eps)_nk_18
15.676690,0.32387300,0.31049300,0.31499900,0.32403300,0.31809100,0.31868100,0.31924200
15.714280,0.31659600,0.30371000,0.31203500,0.32137100,0.31700500,0.31724200,0.31618800
15.751880,0.30469700,0.29707800,0.31049200,0.31547200,0.31420700,0.31499100,0.31225300
15.789470,0.29260100,0.29354900,0.30983900,0.30728500,0.30991600,0.31165000,0.30838000
15.827070,0.28709100,0.29416200,0.30881600,0.30110100,0.30666800,0.30757100,0.30550900
15.864660,0.29021600,0.29771300,0.30612500,0.29923600,0.30516300,0.30379000,0.30351100
15.902260,0.29512400,0.30090500,0.30345100,0.29865300,0.30341400,0.30083900,0.30150900
15.939850,0.29414200,0.30141500,0.30259500,0.29601200,0.30002300,0.29780400,0.29906700
15.977440,0.28889800,0.30113100,0.30147000,0.29303900,0.29559400,0.29416500,0.29589200
16.015040,0.28393500,0.30165900,0.29864500,0.29188500,0.29136400,0.29097500,0.29293900
16.052630,0.27851200,0.29971300,0.29471900,0.29129600,0.28814800,0.28904300,0.29073500
16.090230,0.27412900,0.29353700,0.29019900,0.29066000,0.28674600,0.28805900,0.28885000
16.127820,0.27334100,0.28794700,0.28634600,0.29051000,0.28660700,0.28797400,0.28750100
16.165410,0.27437700,0.28647300,0.28532500,0.29047600,0.28655100,0.28872700,0.28646600
16.203010,0.27500700,0.28783900,0.28675400,0.28944900,0.28609100,0.28979700,0.28591300
16.240600,0.27615500,0.29014900,0.28853900,0.28811500,0.28684600,0.29034000,0.28717700
16.278190,0.27961100,0.29191800,0.28837500,0.28813000,0.29000100,0.29009100,0.29022000
16.315790,0.28433500,0.29264100,0.28633200,0.28948800,0.29353800,0.28964300,0.29297400
16.353380,0.28823400,0.29320100,0.28505400,0.29163200,0.29586300,0.29028200,0.29394000
16.390980,0.28899500,0.29306500,0.28536400,0.29275800,0.29625500,0.29141200,0.29312300
16.428570,0.28734400,0.29299800,0.28619700,0.29132900,0.29350600,0.29107700,0.29098100
16.466160,0.28435300,0.29226800,0.28765500,0.28817100,0.28778800,0.28871300,0.28785800
16.503760,0.28029800,0.28791100,0.28935500,0.28392900,0.28172500,0.28492300,0.28370200
16.541350,0.27691000,0.28100500,0.28822400,0.27910500,0.27724900,0.28061800,0.27898000
16.578950,0.27710700,0.27522000,0.28263400,0.27481900,0.27418100,0.27669200,0.27494500
16.616540,0.28287600,0.27166500,0.27429800,0.27211200,0.27151200,0.27302300,0.27245900
16.654130,0.29005300,0.26825500,0.26621600,0.27077200,0.26862900,0.26907300,0.27063200
16.691730,0.28911900,0.26360200,0.26091100,0.26875300,0.26608000,0.26542300,0.26794800
16.729320,0.27987400,0.25988900,0.25933900,0.26543000,0.26457400,0.26327900,0.26453600
16.766920,0.27329000,0.26087900,0.26053600,0.26378300,0.26507100,0.26338700,0.26282300
16.804510,0.27444500,0.26596400,0.26380800,0.26486300,0.26694400,0.26533100,0.26387200
16.842100,0.27828100,0.26967000,0.26774800,0.26625500,0.26827200,0.26677600,0.26568000
16.879700,0.27821600,0.26806800,0.26867200,0.26514100,0.26625200,0.26534300,0.26536800
16.917290,0.27158100,0.26198800,0.26476800,0.26030400,0.25960700,0.26040500,0.26080600
16.954890,0.25966600,0.25269600,0.25773500,0.25324500,0.25105700,0.25339100,0.25311400
16.992480,0.24711200,0.24190500,0.24957500,0.24623800,0.24429900,0.24628300,0.24595800
17.030080,0.23706400,0.23432800,0.24235400,0.24061800,0.24074300,0.24122800,0.24170900
17.067670,0.23263900,0.23495000,0.23886800,0.23843800,0.24007500,0.24003500,0.24073900
17.105260,0.23689800,0.24287900,0.24028100,0.24092400,0.24185800,0.24241500,0.24255300
17.142850,0.24767200,0.25213300,0.24570600,0.24673100,0.24647100,0.24685700,0.24700700
17.180450,0.25758700,0.25866700,0.25271700,0.25311900,0.25366900,0.25221400,0.25286500
17.218040,0.26297500,0.26268300,0.25868600,0.25844200,0.26036000,0.25780000,0.25787300
17.255640,0.26595200,0.26388100,0.26137700,0.26111700,0.26298000,0.26166900,0.26058600
17.293230,0.26655300,0.26131900,0.26070600,0.26091600,0.26145200,0.26207700,0.26099200
17.330830,0.26120800,0.25766600,0.25871600,0.25915800,0.25862900,0.25952200,0.25937700
17.368420,0.25146400,0.25475100,0.25575600,0.25610500,0.25576900,0.25564900,0.25661600
17.406010,0.24271700,0.25075800,0.25249300,0.25168500,0.25194000,0.25120000,0.25289900
17.443610,0.23811800,0.24424300,0.24788200,0.24682700,0.24655800,0.24594700,0.24732000
17.481200,0.23546000,0.23730700,0.23996800,0.24155400,0.23993300,0.24010500,0.24012500
17.518800,0.23109800,0.23109100,0.23082900,0.23508900,0.23282100,0.23363500,0.23257400
17.556390,0.22496900,0.22447800,0.22258400,0.22717800,0.22516000,0.22602800,0.22478200
17.593980,0.21772500,0.21693800,0.21465800,0.21759900,0.21663200,0.21732400,0.21652500
17.631580,0.21039000,0.20928600,0.20664200,0.20778800,0.20802200,0.20837700,0.20834300
17.669170,0.20337000,0.20217700,0.19962000,0.19957000,0.20047900,0.19998600,0.20088200
17.706770,0.19677500,0.19639700,0.19434300,0.19338400,0.19457100,0.19336200,0.19457600
17.744360,0.19210000,0.19247100,0.19104600,0.18965500,0.19035000,0.18952200,0.18990700
17.781950,0.19038200,0.18962100,0.18939100,0.18791500,0.18772300,0.18791400,0.18733700
17.819550,0.19029600,0.18731400,0.18821000,0.18662700,0.18609200,0.18714100,0.18634600
17.857140,0.18871800,0.18555600,0.18645000,0.18515300,0.18472600,0.18603100,0.18556600
17.894740,0.18527200,0.18408500,0.18370000,0.18375500,0.18308500,0.18418100,0.18412500
17.932330,0.18055600,0.18176900,0.18050100,0.18193400,0.18110600,0.18149000,0.18178800
17.969920,0.17417700,0.17727300,0.17755900,0.17906800,0.17853700,0.17800400,0.17828400
18.007520,0.16776000,0.17134400,0.17526500,0.17545600,0.17546500,0.17442200,0.17439600
18.045110,0.16398400,0.16595700,0.17327900,0.17139200,0.17267000,0.17127500,0.17152800
18.082710,0.16272800,0.16292500,0.17134000,0.16741000,0.17032900,0.16903600,0.16949200
18.120300,0.16268500,0.16231400,0.16982500,0.16433500,0.16797000,0.16759800,0.16752900
18.157890,0.16280400,0.16252100,0.16777200,0.16259700,0.16574200,0.16617000,0.16572400
18.195490,0.16280400,0.16275400,0.16476600,0.16241600,0.16401600,0.16455600,0.16424600
18.233080,0.16375400,0.16370600,0.16273100,0.16389700,0.16274200,0.16320800,0.16309000
18.270680,0.16547900,0.16528200,0.16225700,0.16617200,0.16179800,0.16227800,0.16234600
18.308270,0.16602700,0.16640700,0.16195900,0.16726000,0.16123500,0.16171300,0.16214900
18.345860,0.16426000,0.16687300,0.16083900,0.16602400,0.16121100,0.16167100,0.16239900
18.383460,0.16042600,0.16673700,0.15977300,0.16320700,0.16161200,0.16187400,0.16232000
18.421050,0.15520500,0.16531900,0.15897400,0.15980200,0.16123900,0.16106000,0.16059100
18.458640,0.15007700,0.16196100,0.15744900,0.15599000,0.15874400,0.15848000,0.15708400
18.496240,0.14691900,0.15701500,0.15465800,0.15206100,0.15466300,0.15498400,0.15335100
18.533830,0.14720600,0.15198400,0.15120000,0.14875400,0.15081600,0.15133900,0.15051600
18.571430,0.15064100,0.14845700,0.14777400,0.14678500,0.14839400,0.14796400,0.14849500
18.609020,0.15398500,0.14695300,0.14430100,0.14579800,0.14693100,0.14543600,0.14698000
18.646610,0.15419500,0.14641000,0.14198100,0.14527000,0.14551100,0.14382700,0.14583000
18.684210,0.15195800,0.14549700,0.14226700,0.14502700,0.14425200,0.14316100,0.14482800
18.721800,0.14957800,0.14446000,0.14448300,0.14479800,0.14378800,0.14352300,0.14412300
18.759400,0.14809300,0.14378200,0.14691300,0.14497000,0.14411600,0.14470600,0.14434900
18.796990,0.14674700,0.14358600,0.14821800,0.14587800,0.14470700,0.14644600,0.14527100
18.834590,0.14570700,0.14365500,0.14829600,0.14693500,0.14495900,0.14790800,0.14588200
18.872180,0.14521400,0.14349800,0.14745300,0.14711800,0.14505800,0.14782900,0.14579400
18.909770,0.14476700,0.14329300,0.14534400,0.14595900,0.14535300,0.14610200,0.14528400
18.947370,0.14406900,0.14314700,0.14231300,0.14377600,0.14538800,0.14386700,0.14439200
18.984960,0.14283900,0.14302200,0.13939800,0.14154500,0.14426200,0.14210100,0.14305500
19.022560,0.14135800,0.14173600,0.13698800,0.14028500,0.14224700,0.14066200,0.14149000
19.060150,0.13917600,0.13891500,0.13503600,0.13963500,0.14010700,0.13892200,0.13965700
19.097740,0.13517200,0.13574700,0.13425100,0.13840600,0.13793100,0.13696800,0.13755400
19.135340,0.13006200,0.13306200,0.13506200,0.13655900,0.13615600,0.13544000,0.13561300
19.172930,0.12666200,0.13122600,0.13653300,0.13483200,0.13482400,0.13463500,0.13403900
19.210530,0.12629000,0.13007900,0.13743100,0.13331800,0.13349400,0.13408300,0.13293100
19.248120,0.12693200,0.12948700,0.13703300,0.13179800,0.13225900,0.13347300,0.13240100
19.285710,0.12655600,0.12933000,0.13556800,0.13066200,0.13139100,0.13274700,0.13203300
19.323310,0.12677100,0.12966600,0.13379800,0.13055900,0.13080300,0.13182400,0.13156700
19.360900,0.12920600,0.13129700,0.13216900,0.13152400,0.13039700,0.13120500,0.13128000
19.398490,0.13185700,0.13357100,0.13119000,0.13250900,0.13010500,0.13109100,0.13120800
19.436090,0.13218700,0.13486000,0.13109400,0.13233000,0.12979200,0.13099000,0.13102300
19.473680,0.13093300,0.13398400,0.13133700,0.13119100,0.12968400,0.13046800,0.13042800
19.511280,0.12954200,0.13206900,0.13123600,0.13015900,0.13005900,0.13005700,0.12968000
19.548870,0.12851900,0.13104700,0.13085800,0.12950000,0.13053100,0.12995900,0.12951200
19.586470,0.12909400,0.13127100,0.13042300,0.12960100,0.13068700,0.12991700,0.12995500
19.624060,0.13203000,0.13227800,0.13022200,0.13039200,0.13072100,0.13032700,0.13056800
19.661650,0.13526600,0.13298900,0.13045600,0.13063800,0.13091800,0.13096800,0.13095700
19.699250,0.13590200,0.13186000,0.13015600,0.13023000,0.13129700,0.13109700,0.13107100
19.736840,0.13394400,0.12931100,0.12924400,0.13053000,0.13168300,0.13077200,0.13111700
19.774440,0.13147800,0.12776700,0.12898200,0.13157800,0.13146400,0.13016800,0.13091100
19.812030,0.13052300,0.12927200,0.12990700,0.13209000,0.13071900,0.12988200,0.13084600
19.849620,0.13175900,0.13310700,0.13056300,0.13181000,0.13080200,0.13055000,0.13128600
19.887220,0.13517000,0.13654400,0.13029600,0.13221300,0.13254500,0.13228400,0.13213900
19.924810,0.13971300,0.13844200,0.13124900,0.13447500,0.13495000,0.13487800,0.13389800
19.962400,0.14187900,0.14030400,0.13459700,0.13727600,0.13708500,0.13801900,0.13664300
20.000000,0.14058400,0.14435400,0.13864000,0.13987800,0.13957000,0.14098200,0.13998000
