#                                                                     
# $$\                                                                 
# $$ |                                                                
# $$ |     $$\   $$\ $$$$$$\$$$$\   $$$$$$\  $$$$$$$\                 
# $$ |     $$ |  $$ |$$  _$$  _$$\ $$  __$$\ $$  __$$\                
# $$ |     $$ |  $$ |$$ / $$ / $$ |$$$$$$$$ |$$ |  $$ |               
# $$ |     $$ |  $$ |$$ | $$ | $$ |$$   ____|$$ |  $$ |               
# $$$$$$$$\\$$$$$$  |$$ | $$ | $$ |\$$$$$$$\ $$ |  $$ |               
# \________|\______/ \__| \__| \__| \_______|\__|  \__|               
#                                                                     
#                   Fork Lumen 2.1.0                                  
#                  Branch is bug-fixes                                
#        MPI+OpenMP+SLK+SLEPC+HDF5_MPI_IO Build                       
#               http://www.lumen-code.org                             
#
# Absorption @ Q(1):   1.00000000      0.00000000      0.00000000    [q->0 direction]
#
# [ X ] Hartree size                              :  1
# [GEN] GF Energies                               : Perdew, Burke & Ernzerhof(X)+Perdew, Burke & Ernzerhof(C)
# [GEN] Green`s Function                          : T-ordered
#
# [GEN] Gauge                                     : Length
# [GEN] [r,Vnl] included                          : yes
#
#    E[1] [eV]          Im(eps)            Re(eps)            Im(eps_o)          Re(eps_o)
#
        5.000000           1.929167           2.736161           1.929167           2.736161
        5.037593           2.093098           2.751026           2.093100           2.751026
        5.075188           2.271080           2.725808           2.271080           2.725808
        5.112782           2.440387           2.664195           2.440386           2.664196
        5.150376           2.600184           2.588310           2.600183           2.588310
        5.187970           2.768617           2.498556           2.768617           2.498556
        5.225564           2.951671           2.379121           2.951671           2.379121
        5.263157           3.146425           2.209728           3.146424           2.209729
        5.300752           3.327635           1.966346           3.327636           1.966345
        5.338346           3.452937           1.650723           3.452937           1.650723
        5.375940           3.488712           1.288234           3.488712           1.288232
        5.413534           3.411643           0.915803           3.411643           0.915803
        5.451128           3.214775           0.597804           3.214775           0.597803
        5.488721           2.955374           0.395718           2.955374           0.395717
        5.526316           2.716565           0.305453           2.716565           0.305452
        5.563910           2.551437           0.261239           2.551437           0.261239
        5.601503           2.424767           0.178775           2.424767           0.178775
        5.639097           2.242033           0.073397           2.242033           0.073397
        5.676692           2.006037           0.040189           2.006037           0.040190
        5.714285           1.800539           0.096924           1.800539           0.096924
        5.751880           1.667326           0.188795           1.667326           0.188795
        5.789474           1.592347           0.264895           1.592346           0.264895
        5.827067           1.533773           0.305260           1.533773           0.305259
        5.864661           1.457816           0.338411           1.457815           0.338411
        5.902255           1.385264           0.396392           1.385264           0.396392
        5.939849           1.345555           0.462968           1.345555           0.462968
        5.977444           1.326035           0.506453           1.326035           0.506453
        6.015037           1.292618           0.538760           1.292618           0.538760
        6.052631           1.258600           0.595327           1.258600           0.595327
        6.090225           1.262406           0.665223           1.262406           0.665223
        6.127820           1.303738           0.709725           1.303737           0.709725
        6.165413           1.355160           0.714774           1.355160           0.714775
        6.203007           1.396661           0.687143           1.396661           0.687143
        6.240601           1.420679           0.636191           1.420679           0.636191
