E[1] [eV],Re(eps)_nk_6,Re(eps)_nk_8,Re(eps)_nk_10,Re(eps)_nk_12,Re(eps)_nk_14,Re(eps)_nk_16,Re(eps)_nk_18
15.864660,0.60907600,0.62085300,0.60903900,0.60725800,0.60771300,0.60529600,0.60770600
15.902260,0.61090100,0.62228400,0.61180400,0.61036900,0.60876200,0.60805600,0.60988200
15.939850,0.60834700,0.62224400,0.61418100,0.61239700,0.60943900,0.61031900,0.61165100
15.977440,0.60865600,0.62310900,0.61460600,0.61627200,0.61137900,0.61309500,0.61374500
16.015040,0.61127200,0.62280300,0.61466800,0.62038600,0.61477000,0.61705600,0.61681600
16.052630,0.61514100,0.62010800,0.61561200,0.62339700,0.61938000,0.62136100,0.62002800
16.090230,0.62192100,0.61963400,0.61793200,0.62609100,0.62425900,0.62542300,0.62325300
16.127820,0.62932100,0.62418700,0.62247700,0.62846800,0.62814100,0.62910900,0.62655200
16.165410,0.63457700,0.63029200,0.62797400,0.62985600,0.63096500,0.63196400,0.62970800
16.203010,0.63872900,0.63471300,0.63177500,0.63080500,0.63389100,0.63357000,0.63337300
16.240600,0.64351400,0.63684400,0.63283400,0.63285600,0.63768200,0.63409900,0.63710300
16.278190,0.64760200,0.63695100,0.63215200,0.63538300,0.64014100,0.63438500,0.63890100
16.315790,0.64894800,0.63649300,0.63260900,0.63705300,0.63961500,0.63516900,0.63788700
16.353380,0.64696900,0.63556400,0.63467800,0.63683200,0.63684200,0.63587700,0.63529300
16.390980,0.64335300,0.63404900,0.63643500,0.63413900,0.63238000,0.63474400,0.63238300
16.428570,0.64061500,0.63227300,0.63709800,0.63070400,0.62732800,0.63195100,0.62981000
16.466160,0.63899500,0.62838100,0.63684200,0.62809800,0.62428200,0.62907400,0.62767600
16.503760,0.63933400,0.62388500,0.63396000,0.62653500,0.62443700,0.62716300,0.62631400
16.541350,0.64257500,0.62248700,0.62839200,0.62651700,0.62631600,0.62665200,0.62642900
16.578950,0.64798200,0.62434100,0.62330100,0.62818700,0.62824100,0.62712800,0.62813200
16.616540,0.65115900,0.62653900,0.62179900,0.63059900,0.62968100,0.62786000,0.63014800
16.654130,0.64633400,0.62776700,0.62453600,0.63212300,0.63130100,0.62913600,0.63116600
16.691730,0.63580200,0.62988400,0.63031400,0.63230200,0.63362100,0.63173500,0.63165300
16.729320,0.63113300,0.63509100,0.63654400,0.63367200,0.63659100,0.63533500,0.63347200
16.766920,0.63506000,0.64130000,0.64137700,0.63684200,0.63920200,0.63871400,0.63691400
16.804510,0.63914900,0.64328000,0.64394700,0.63875100,0.63959300,0.63989500,0.63929900
16.842100,0.63680100,0.63910800,0.64249300,0.63740400,0.63686800,0.63783600,0.63850100
16.879700,0.62919800,0.63260200,0.63722900,0.63363300,0.63181400,0.63382800,0.63472500
16.917290,0.62103700,0.62757700,0.63180200,0.63019000,0.62810200,0.63051200,0.63058700
16.954890,0.61745400,0.62570800,0.62916900,0.62968900,0.62894300,0.63000000,0.62986600
16.992480,0.62045700,0.62933300,0.63012600,0.63239800,0.63383700,0.63292800,0.63352100
17.030080,0.62899100,0.63957400,0.63522000,0.63810900,0.64042400,0.63906000,0.63973700
17.067670,0.64193400,0.65230200,0.64330500,0.64607800,0.64703400,0.64644200,0.64637100
17.105260,0.65475900,0.66042600,0.65142200,0.65359200,0.65304400,0.65253300,0.65223600
17.142850,0.66074400,0.66126400,0.65670800,0.65771700,0.65774700,0.65608400,0.65621400
17.180450,0.65824000,0.65763600,0.65749100,0.65774800,0.65888200,0.65698200,0.65674800
17.218040,0.65220200,0.65205600,0.65390500,0.65434200,0.65472400,0.65475000,0.65371000
17.255640,0.64530000,0.64474700,0.64749600,0.64847100,0.64727200,0.64910400,0.64853600
17.293230,0.63587300,0.63800800,0.64128400,0.64238300,0.64039100,0.64189800,0.64259300
17.330830,0.62581300,0.63372000,0.63596500,0.63679700,0.63547400,0.63542100,0.63678300
17.368420,0.62050800,0.62975800,0.63108100,0.63142000,0.63087900,0.63034000,0.63150600
17.406010,0.62071900,0.62465700,0.62636900,0.62678000,0.62595200,0.62595800,0.62613100
17.443610,0.62249300,0.62043500,0.62050200,0.62305900,0.62133000,0.62211800,0.62091000
17.481200,0.62168500,0.61856000,0.61547900,0.61936600,0.61784500,0.61894500,0.61721300
17.518800,0.61917400,0.61739900,0.61368500,0.61584900,0.61553500,0.61617400,0.61512400
17.556390,0.61720600,0.61624900,0.61386400,0.61304300,0.61400100,0.61402800,0.61401600
17.593980,0.61655300,0.61610800,0.61479300,0.61202900,0.61383900,0.61345400,0.61419000
17.631580,0.61762200,0.61760100,0.61718700,0.61413200,0.61578000,0.61497100,0.61604400
17.669170,0.61983500,0.62063700,0.62136100,0.61860200,0.61962700,0.61868300,0.61944500
17.706770,0.62368600,0.62499700,0.62652900,0.62436700,0.62450800,0.62441000,0.62406900
17.744360,0.62909200,0.62954000,0.63180300,0.63044100,0.62972800,0.63071300,0.62956600
17.781950,0.63421000,0.63337800,0.63603200,0.63530900,0.63453800,0.63585100,0.63499400
17.819550,0.63655500,0.63669800,0.63870700,0.63858700,0.63835500,0.63917100,0.63907500
17.857140,0.63648300,0.63939200,0.64022700,0.64111200,0.64107800,0.64106400,0.64143400
17.894740,0.63633100,0.64102200,0.64160500,0.64302500,0.64307400,0.64227800,0.64274900
17.932330,0.63654000,0.64123200,0.64360700,0.64406000,0.64467400,0.64329600,0.64358500
17.969920,0.63808100,0.64142400,0.64624700,0.64489300,0.64608900,0.64482500,0.64471400
18.007520,0.64270600,0.64361400,0.64902500,0.64625400,0.64801900,0.64725000,0.64720800
18.045110,0.64923500,0.64842200,0.65146200,0.64842300,0.65057100,0.65041700,0.65057900
18.082710,0.65518700,0.65470300,0.65386100,0.65181200,0.65312100,0.65392700,0.65361000
18.120300,0.65979800,0.66033400,0.65597000,0.65623300,0.65561700,0.65697900,0.65636900
18.157890,0.66318800,0.66445100,0.65734000,0.66111600,0.65846100,0.65943400,0.65920900
18.195490,0.66630400,0.66796600,0.65960100,0.66586700,0.66146200,0.66191900,0.66204900
18.233080,0.66916000,0.67111200,0.66313800,0.66956100,0.66433000,0.66458000,0.66480500
18.270680,0.67017200,0.67294000,0.66618400,0.67093600,0.66700600,0.66713600,0.66744400
18.308270,0.66904000,0.67341300,0.66781500,0.66995000,0.66948800,0.66945800,0.66970600
18.345860,0.66728700,0.67318000,0.66907800,0.66830500,0.67154400,0.67132700,0.67108400
18.383460,0.66636600,0.67218200,0.67060900,0.66755100,0.67250600,0.67202300,0.67106100
18.421050,0.66736700,0.67040900,0.67153500,0.66774800,0.67187100,0.67143300,0.67019300
18.458640,0.67107900,0.66881100,0.67167100,0.66881700,0.67087300,0.67091800,0.67026700
18.496240,0.67707000,0.66880600,0.67199000,0.67102500,0.67141500,0.67156500,0.67213100
18.533830,0.68359300,0.67116500,0.67337100,0.67448200,0.67398300,0.67331400,0.67497600
18.571430,0.68766800,0.67521200,0.67567100,0.67842900,0.67740200,0.67615600,0.67796800
18.609020,0.68759000,0.67934000,0.67908100,0.68197700,0.68040800,0.67978300,0.68088800
18.646610,0.68562800,0.68225000,0.68419300,0.68508200,0.68311100,0.68366800,0.68366900
18.684210,0.68489000,0.68445400,0.68956100,0.68774700,0.68615700,0.68761300,0.68635000
18.721800,0.68599500,0.68685700,0.69317200,0.69017800,0.68935700,0.69119400,0.68928400
18.759400,0.68757200,0.68934200,0.69447100,0.69264500,0.69204700,0.69399200,0.69215900
18.796990,0.68901000,0.69164000,0.69421000,0.69453800,0.69384600,0.69558600,0.69402800
18.834590,0.69074700,0.69331900,0.69353600,0.69517600,0.69505600,0.69551300,0.69479100
18.872180,0.69214100,0.69460100,0.69266800,0.69472000,0.69616500,0.69437200,0.69515300
18.909770,0.69299300,0.69571500,0.69196800,0.69410800,0.69690300,0.69369400,0.69546700
18.947370,0.69332700,0.69657400,0.69239400,0.69426000,0.69674700,0.69423500,0.69568200
18.984960,0.69347700,0.69666900,0.69407600,0.69564200,0.69618400,0.69547700,0.69602700
19.022560,0.69355600,0.69593400,0.69644200,0.69756000,0.69629700,0.69658800,0.69660000
19.060150,0.69310700,0.69590000,0.69946900,0.69877500,0.69707000,0.69765700,0.69734900
19.097740,0.69305200,0.69730300,0.70312400,0.69942800,0.69840200,0.69926500,0.69857100
19.135340,0.69549300,0.69979000,0.70624300,0.70050700,0.70026600,0.70147300,0.70038700
19.172930,0.70065000,0.70281100,0.70779900,0.70218000,0.70208400,0.70365900,0.70253000
19.210530,0.70579300,0.70587100,0.70792200,0.70399800,0.70385000,0.70540000,0.70489600
19.248120,0.70893800,0.70891900,0.70749500,0.70613000,0.70587000,0.70693200,0.70710700
19.285710,0.71157400,0.71180100,0.70759200,0.70885300,0.70801200,0.70832600,0.70889700
19.323310,0.71542200,0.71485200,0.70851700,0.71181700,0.71003700,0.70992900,0.71059000
19.360900,0.71851000,0.71750500,0.71019500,0.71400200,0.71196100,0.71186200,0.71231900
19.398490,0.71879700,0.71845400,0.71243200,0.71477000,0.71371500,0.71361400,0.71378900
19.436090,0.71780300,0.71761700,0.71452200,0.71480800,0.71544800,0.71484500,0.71490600
19.473680,0.71796200,0.71658900,0.71589700,0.71550000,0.71733200,0.71606400,0.71599200
19.511280,0.71930900,0.71728000,0.71680800,0.71697700,0.71904300,0.71766400,0.71760400
19.548870,0.72183600,0.71932200,0.71781200,0.71888000,0.72019200,0.71917900,0.71960000
19.586470,0.72527600,0.72134300,0.71896300,0.72098200,0.72111000,0.72069800,0.72129300
19.624060,0.72766000,0.72250900,0.72036500,0.72235200,0.72216000,0.72220400,0.72243900
19.661650,0.72693000,0.72224600,0.72137400,0.72291400,0.72325500,0.72304200,0.72317400
19.699250,0.72445700,0.72157000,0.72188100,0.72403500,0.72419500,0.72348200,0.72390200
19.736840,0.72312800,0.72271900,0.72305700,0.72576900,0.72474100,0.72408400,0.72463200
19.774440,0.72434700,0.72645200,0.72516300,0.72683100,0.72507600,0.72519500,0.72550600
19.812030,0.72738800,0.73088000,0.72689100,0.72711700,0.72626400,0.72709800,0.72688700
19.849620,0.73076200,0.73320200,0.72756400,0.72801300,0.72858200,0.72938700,0.72843900
19.887220,0.73307600,0.73296600,0.72897700,0.73016400,0.73074200,0.73142800,0.73011000
19.924810,0.73248800,0.73224500,0.73189700,0.73211100,0.73156600,0.73276200,0.73186900
19.962400,0.72898500,0.73261100,0.73418500,0.73252500,0.73180700,0.73300100,0.73293500
20.000000,0.72714700,0.73274400,0.73437400,0.73263500,0.73180700,0.73214700,0.73308400
