#                                                                     
# $$\                                                                 
# $$ |                                                                
# $$ |     $$\   $$\ $$$$$$\$$$$\   $$$$$$\  $$$$$$$\                 
# $$ |     $$ |  $$ |$$  _$$  _$$\ $$  __$$\ $$  __$$\                
# $$ |     $$ |  $$ |$$ / $$ / $$ |$$$$$$$$ |$$ |  $$ |               
# $$ |     $$ |  $$ |$$ | $$ | $$ |$$   ____|$$ |  $$ |               
# $$$$$$$$\\$$$$$$  |$$ | $$ | $$ |\$$$$$$$\ $$ |  $$ |               
# \________|\______/ \__| \__| \__| \_______|\__|  \__|               
#                                                                     
#                   Fork Lumen 2.1.0                                  
#                  Branch is bug-fixes                                
#        MPI+OpenMP+SLK+SLEPC+HDF5_MPI_IO Build                       
#               http://www.lumen-code.org                             
#
# Absorption @ Q(1):   1.00000000      0.00000000      0.00000000    [q->0 direction]
#
# [ X ] Hartree size                              :  1
# [GEN] GF Energies                               : Perdew, Burke & Ernzerhof(X)+Perdew, Burke & Ernzerhof(C)
# [GEN] Green`s Function                          : T-ordered
#
# [GEN] Gauge                                     : Length
# [GEN] [r,Vnl] included                          : yes
#
#    E[1] [eV]          Im(eps)            Re(eps)            Im(eps_o)          Re(eps_o)
#
        5.000000           0.548495           2.027839           0.548495           2.027839
        5.037593           0.581118           2.071713           0.581118           2.071713
        5.075188           0.623307           2.111146           0.623307           2.111146
        5.112782           0.675988           2.144007           0.675988           2.144007
        5.150376           0.738408           2.161770           0.738408           2.161770
        5.187970           0.798659           2.159322           0.798659           2.159322
        5.225564           0.847411           2.142924           0.847411           2.142924
        5.263157           0.880247           2.117172           0.880247           2.117172
        5.300752           0.888103           2.093426           0.888103           2.093426
        5.338346           0.879891           2.093856           0.879891           2.093856
        5.375940           0.880464           2.119702           0.880464           2.119703
        5.413534           0.900713           2.154092           0.900713           2.154092
        5.451128           0.934193           2.183687           0.934193           2.183687
        5.488721           0.970197           2.210878           0.970197           2.210878
        5.526316           1.014468           2.246112           1.014468           2.246112
        5.563910           1.083421           2.281072           1.083421           2.281073
        5.601503           1.175289           2.291465           1.175290           2.291465
        5.639097           1.265101           2.264148           1.265101           2.264148
        5.676692           1.325280           2.213201           1.325280           2.213201
        5.714285           1.353659           2.171009           1.353659           2.171009
        5.751880           1.376003           2.150948           1.376003           2.150948
        5.789474           1.407555           2.136472           1.407554           2.136472
        5.827067           1.432171           2.115620           1.432171           2.115619
        5.864661           1.436555           2.112536           1.436555           2.112536
        5.902255           1.448506           2.153630           1.448506           2.153630
        5.939849           1.512151           2.223401           1.512152           2.223401
        5.977444           1.637220           2.271619           1.637221           2.271620
        6.015037           1.784227           2.269917           1.784226           2.269917
        6.052631           1.927740           2.244576           1.927740           2.244576
        6.090225           2.097152           2.207423           2.097153           2.207423
        6.127820           2.307175           2.113761           2.307174           2.113762
        6.165413           2.512128           1.919809           2.512128           1.919808
        6.203007           2.641422           1.641322           2.641422           1.641322
        6.240601           2.663432           1.337657           2.663432           1.337658
        6.278195           2.597061           1.071893           2.597061           1.071893
        6.315789           2.498584           0.853489           2.498584           0.853489
        6.353383           2.375866           0.652069           2.375866           0.652068
        6.390977           2.207528           0.470673           2.207527           0.470673
        6.428571           1.987709           0.340857           1.987709           0.340857
        6.466165           1.747787           0.297694           1.747787           0.297694
        6.503759           1.542581           0.336886           1.542581           0.336885
        6.541353           1.401242           0.416660           1.401242           0.416660
        6.578947           1.318180           0.498823           1.318180           0.498823
        6.616541           1.274150           0.559703           1.274150           0.559703
        6.654135           1.240488           0.593830           1.240488           0.593830
        6.691729           1.199055           0.619560           1.199055           0.619560
        6.729323           1.160643           0.656955           1.160643           0.656955
        6.766917           1.145393           0.696412           1.145393           0.696412
        6.804511           1.147353           0.716061           1.147353           0.716061
        6.842104           1.145435           0.711578           1.145435           0.711578
        6.879699           1.123793           0.697338           1.123793           0.697338
        6.917293           1.086661           0.694860           1.086660           0.694860
        6.954887           1.054430           0.708468           1.054430           0.708468
        6.992481           1.035982           0.721662           1.035982           0.721662
        7.030074           1.017872           0.723703           1.017872           0.723703
        7.067669           0.987757           0.725503           0.987757           0.725503
        7.105263           0.951863           0.742423           0.951863           0.742423
        7.142857           0.928684           0.775023           0.928684           0.775023
        7.180451           0.924751           0.805516           0.924751           0.805516
        7.218045           0.927456           0.825260           0.927455           0.825260
        7.255639           0.930616           0.840965           0.930616           0.840965
        7.293232           0.937384           0.855033           0.937384           0.855033
        7.330826           0.948196           0.867268           0.948196           0.867268
        7.368421           0.969446           0.879192           0.969446           0.879192
        7.406014           1.009163           0.875441           1.009163           0.875441
        7.443608           1.049623           0.835662           1.049623           0.835662
        7.481203           1.058548           0.768027           1.058547           0.768027
        7.518797           1.029004           0.705004           1.029004           0.705003
        7.556391           0.978256           0.662579           0.978256           0.662579
        7.593984           0.918471           0.643279           0.918471           0.643279
        7.631578           0.862200           0.648040           0.862200           0.648040
        7.669173           0.822166           0.668880           0.822166           0.668880
        7.706767           0.801995           0.689931           0.801995           0.689931
        7.744360           0.790684           0.700399           0.790684           0.700399
        7.781955           0.780128           0.704278           0.780128           0.704278
        7.819549           0.770643           0.700511           0.770643           0.700511
        7.857142           0.753378           0.686252           0.753378           0.686252
        7.894736           0.717687           0.671463           0.717687           0.671463
        7.932330           0.667647           0.674259           0.667647           0.674259
        7.969924           0.622258           0.699632           0.622258           0.699632
        8.007519           0.592220           0.735696           0.592220           0.735696
        8.045113           0.576213           0.773653           0.576213           0.773653
        8.082706           0.573062           0.808158           0.573062           0.808158
        8.120299           0.577832           0.832739           0.577832           0.832740
        8.157894           0.580976           0.848227           0.580976           0.848227
        8.195488           0.580474           0.862792           0.580474           0.862792
        8.233082           0.582092           0.878695           0.582092           0.878695
        8.270677           0.587983           0.890872           0.587983           0.890872
        8.308270           0.591260           0.896168           0.591260           0.896168
        8.345864           0.588550           0.904662           0.588550           0.904662
        8.383458           0.592213           0.918530           0.592213           0.918530
        8.421052           0.604125           0.924682           0.604126           0.924682
        8.458646           0.612548           0.920010           0.612548           0.920010
        8.496240           0.613687           0.911224           0.613687           0.911224
        8.533834           0.606339           0.900087           0.606339           0.900087
        8.571428           0.587707           0.894009           0.587707           0.894009
        8.609021           0.565396           0.900201           0.565396           0.900201
        8.646616           0.547753           0.916247           0.547753           0.916247
        8.684210           0.538033           0.936519           0.538033           0.936519
        8.721804           0.534679           0.956361           0.534679           0.956361
        8.759398           0.536599           0.974682           0.536599           0.974682
        8.796992           0.542392           0.987338           0.542392           0.987338
        8.834586           0.544778           0.993794           0.544778           0.993793
        8.872180           0.539590           1.000863           0.539590           1.000863
        8.909773           0.529342           1.016154           0.529342           1.016154
        8.947368           0.522223           1.044639           0.522222           1.044639
        8.984962           0.530123           1.081794           0.530122           1.081794
        9.022555           0.555245           1.114993           0.555245           1.114993
        9.060150           0.591709           1.135889           0.591709           1.135889
        9.097744           0.628820           1.141376           0.628820           1.141376
        9.135338           0.658306           1.141339           0.658306           1.141339
        9.172933           0.689298           1.145469           0.689298           1.145469
        9.210526           0.733679           1.144700           0.733679           1.144700
        9.248120           0.786395           1.123344           0.786395           1.123344
        9.285713           0.831318           1.074473           0.831318           1.074473
        9.323307           0.846154           1.006160           0.846154           1.006160
        9.360902           0.823797           0.949220           0.823796           0.949220
        9.398496           0.791087           0.925056           0.791087           0.925056
        9.436090           0.775223           0.919648           0.775223           0.919648
        9.473684           0.776287           0.909333           0.776287           0.909333
        9.511277           0.778477           0.884326           0.778477           0.884326
        9.548872           0.768627           0.852387           0.768627           0.852387
        9.586466           0.748272           0.825044           0.748272           0.825044
        9.624060           0.724917           0.803858           0.724917           0.803858
        9.661654           0.699850           0.783646           0.699850           0.783646
        9.699247           0.666148           0.765396           0.666148           0.765396
        9.736841           0.625954           0.759249           0.625954           0.759249
        9.774436           0.589483           0.764560           0.589483           0.764560
        9.812029           0.558110           0.775411           0.558110           0.775411
        9.849624           0.531031           0.790549           0.531031           0.790549
        9.887218           0.508671           0.808672           0.508671           0.808672
        9.924811           0.490357           0.828911           0.490357           0.828911
        9.962406           0.476551           0.851680           0.476551           0.851680
        9.999999           0.469502           0.875850           0.469502           0.875850
        10.03759           0.469573           0.896846           0.469573           0.896846
        10.07519           0.471888           0.912230           0.471888           0.912230
        10.11278           0.473488           0.924870           0.473488           0.924870
        10.15038           0.474750           0.936330           0.474750           0.936330
        10.18797           0.474871           0.948438           0.474871           0.948438
        10.22556           0.477660           0.964234           0.477660           0.964234
        10.26316           0.488367           0.979197           0.488367           0.979197
        10.30075           0.503829           0.986089           0.503829           0.986089
        10.33835           0.516854           0.985500           0.516854           0.985500
        10.37594           0.526274           0.981685           0.526274           0.981685
        10.41353           0.532428           0.975237           0.532428           0.975237
        10.45113           0.534026           0.968374           0.534027           0.968374
        10.48872           0.533902           0.962619           0.533902           0.962619
        10.52631           0.531264           0.955504           0.531264           0.955504
        10.56391           0.523858           0.950337           0.523858           0.950337
        10.60150           0.515349           0.949072           0.515349           0.949072
        10.63910           0.506350           0.949533           0.506350           0.949533
        10.67669           0.495792           0.953099           0.495792           0.953099
        10.71428           0.485936           0.961274           0.485936           0.961274
        10.75188           0.478952           0.973171           0.478952           0.973171
        10.78947           0.476333           0.987267           0.476333           0.987267
        10.82707           0.478301           1.001332           0.478301           1.001332
        10.86466           0.484149           1.014046           0.484149           1.014046
        10.90225           0.493417           1.024183           0.493417           1.024183
        10.93985           0.504231           1.030696           0.504231           1.030696
        10.97744           0.515779           1.034811           0.515779           1.034811
        11.01504           0.528842           1.035345           0.528842           1.035345
        11.05263           0.540669           1.030625           0.540669           1.030625
        11.09022           0.548124           1.022951           0.548124           1.022951
        11.12782           0.551654           1.016091           0.551654           1.016091
        11.16541           0.554598           1.011114           0.554598           1.011114
        11.20301           0.558763           1.005577           0.558763           1.005577
        11.24060           0.562778           0.996777           0.562778           0.996777
        11.27819           0.563091           0.984362           0.563091           0.984362
        11.31579           0.556666           0.970923           0.556666           0.970923
        11.35338           0.542795           0.961877           0.542795           0.961877
        11.39098           0.526522           0.961509           0.526522           0.961508
        11.42857           0.513399           0.968172           0.513399           0.968172
        11.46616           0.505313           0.978236           0.505313           0.978236
        11.50376           0.502009           0.989092           0.502009           0.989092
        11.54135           0.502939           0.998991           0.502939           0.998991
        11.57895           0.507398           1.006069           0.507398           1.006069
        11.61654           0.512735           1.007683           0.512735           1.007683
        11.65413           0.512948           1.005349           0.512948           1.005349
        11.69173           0.507207           1.006489           0.507207           1.006489
        11.72932           0.501980           1.014630           0.501980           1.014630
        11.76692           0.502778           1.025739           0.502778           1.025738
        11.80451           0.508089           1.033965           0.508089           1.033965
        11.84210           0.513537           1.039454           0.513537           1.039454
        11.87970           0.519296           1.044295           0.519296           1.044295
        11.91729           0.526210           1.047584           0.526210           1.047584
        11.95489           0.532626           1.047586           0.532626           1.047586
        11.99248           0.534695           1.046098           0.534695           1.046098
        12.03007           0.533063           1.048455           0.533063           1.048455
        12.06767           0.532839           1.056247           0.532839           1.056247
        12.10526           0.537155           1.066110           0.537155           1.066110
        12.14286           0.545122           1.075815           0.545122           1.075815
        12.18045           0.557009           1.084087           0.557009           1.084087
        12.21804           0.570589           1.089227           0.570589           1.089227
        12.25564           0.584821           1.093755           0.584821           1.093755
        12.29323           0.603489           1.097779           0.603489           1.097779
        12.33083           0.627883           1.095088           0.627883           1.095087
        12.36842           0.650169           1.081354           0.650169           1.081354
        12.40601           0.664275           1.063385           0.664275           1.063385
        12.44361           0.674470           1.045586           0.674470           1.045586
        12.48120           0.681331           1.023832           0.681331           1.023832
        12.51880           0.676964           1.000879           0.676964           1.000879
        12.55639           0.664916           0.988687           0.664916           0.988687
        12.59398           0.657133           0.985502           0.657133           0.985502
        12.63158           0.654201           0.984090           0.654201           0.984090
        12.66917           0.655525           0.982904           0.655525           0.982904
        12.70677           0.660189           0.977340           0.660189           0.977340
        12.74436           0.661573           0.966693           0.661573           0.966694
        12.78195           0.656936           0.956399           0.656936           0.956399
        12.81955           0.648312           0.951124           0.648312           0.951124
        12.85714           0.641128           0.952773           0.641128           0.952773
        12.89474           0.640310           0.956896           0.640310           0.956896
        12.93233           0.642840           0.957422           0.642840           0.957422
        12.96992           0.643214           0.956730           0.643214           0.956730
        13.00752           0.643638           0.959862           0.643638           0.959862
        13.04511           0.649727           0.965612           0.649727           0.965612
        13.08271           0.663239           0.968593           0.663239           0.968594
        13.12030           0.682104           0.962826           0.682104           0.962825
        13.15789           0.697821           0.944191           0.697821           0.944191
        13.19549           0.700449           0.919462           0.700449           0.919462
        13.23308           0.691185           0.900318           0.691185           0.900318
        13.27067           0.678455           0.891593           0.678455           0.891593
        13.30827           0.669919           0.890965           0.669920           0.890965
        13.34586           0.669268           0.892076           0.669268           0.892076
        13.38346           0.673570           0.887429           0.673570           0.887429
        13.42105           0.674910           0.876472           0.674910           0.876472
        13.45864           0.669577           0.864611           0.669577           0.864611
        13.49624           0.659599           0.857541           0.659599           0.857541
        13.53383           0.650218           0.856159           0.650219           0.856159
        13.57143           0.643822           0.856915           0.643822           0.856915
        13.60902           0.637636           0.858205           0.637636           0.858205
        13.64662           0.631657           0.863485           0.631657           0.863485
        13.68421           0.630029           0.872809           0.630029           0.872809
        13.72180           0.634458           0.883424           0.634458           0.883424
        13.75940           0.645985           0.893367           0.645985           0.893367
        13.79699           0.665807           0.897995           0.665807           0.897995
        13.83459           0.689067           0.891729           0.689067           0.891729
        13.87218           0.709194           0.876136           0.709194           0.876136
        13.90977           0.724739           0.853760           0.724739           0.853760
        13.94737           0.732468           0.824950           0.732468           0.824950
        13.98496           0.728318           0.795737           0.728318           0.795737
        14.02256           0.716719           0.773379           0.716719           0.773379
        14.06015           0.703936           0.756351           0.703936           0.756351
        14.09774           0.688927           0.742160           0.688927           0.742161
        14.13534           0.672069           0.733614           0.672069           0.733614
        14.17293           0.657112           0.730433           0.657112           0.730433
        14.21053           0.645251           0.730430           0.645251           0.730430
        14.24812           0.637147           0.732323           0.637147           0.732323
        14.28571           0.633474           0.733584           0.633474           0.733584
        14.32331           0.631350           0.731103           0.631350           0.731103
        14.36090           0.626407           0.727425           0.626407           0.727425
        14.39849           0.620204           0.727334           0.620204           0.727334
        14.43609           0.618132           0.731294           0.618132           0.731294
        14.47368           0.623471           0.734354           0.623471           0.734354
        14.51128           0.634557           0.730775           0.634557           0.730775
        14.54887           0.645889           0.717153           0.645889           0.717153
        14.58646           0.650565           0.694712           0.650565           0.694712
        14.62406           0.643979           0.669800           0.643979           0.669800
        14.66165           0.628120           0.649632           0.628120           0.649632
        14.69925           0.608043           0.637497           0.608043           0.637497
        14.73684           0.589283           0.632209           0.589283           0.632209
        14.77444           0.572622           0.630259           0.572622           0.630259
        14.81203           0.557991           0.631683           0.557991           0.631683
        14.84962           0.547588           0.635441           0.547588           0.635441
        14.88722           0.542236           0.637707           0.542236           0.637707
        14.92481           0.538220           0.634799           0.538220           0.634799
        14.96240           0.529738           0.628862           0.529738           0.628862
        15.00000           0.517087           0.626396           0.517087           0.626396
        15.03759           0.506194           0.628577           0.506194           0.628577
        15.07519           0.499134           0.630696           0.499134           0.630696
        15.11278           0.492644           0.630396           0.492644           0.630396
        15.15037           0.484415           0.629420           0.484415           0.629420
