#                                                                     
# $$\                                                                 
# $$ |                                                                
# $$ |     $$\   $$\ $$$$$$\$$$$\   $$$$$$\  $$$$$$$\                 
# $$ |     $$ |  $$ |$$  _$$  _$$\ $$  __$$\ $$  __$$\                
# $$ |     $$ |  $$ |$$ / $$ / $$ |$$$$$$$$ |$$ |  $$ |               
# $$ |     $$ |  $$ |$$ | $$ | $$ |$$   ____|$$ |  $$ |               
# $$$$$$$$\\$$$$$$  |$$ | $$ | $$ |\$$$$$$$\ $$ |  $$ |               
# \________|\______/ \__| \__| \__| \_______|\__|  \__|               
#                                                                     
#                   Fork Lumen 2.1.0                                  
#                  Branch is bug-fixes                                
#        MPI+OpenMP+SLK+SLEPC+HDF5_MPI_IO Build                       
#               http://www.lumen-code.org                             
#
# Absorption @ Q(1):   1.00000000      0.00000000      0.00000000    [q->0 direction]
#
# [ X ] Hartree size                              :  1
# [GEN] GF Energies                               : Perdew, Burke & Ernzerhof(X)+Perdew, Burke & Ernzerhof(C)
# [GEN] Green`s Function                          : T-ordered
#
# [GEN] Gauge                                     : Length
# [GEN] [r,Vnl] included                          : yes
#
#    E[1] [eV]          Im(eps)            Re(eps)            Im(eps_o)          Re(eps_o)
#
        5.000000           0.547230           2.024404           0.547230           2.024405
        5.037593           0.580435           2.069302           0.580435           2.069302
        5.075188           0.622068           2.108176           0.622068           2.108176
        5.112782           0.672552           2.141230           0.672552           2.141231
        5.150376           0.733321           2.162180           0.733322           2.162180
        5.187970           0.795960           2.162586           0.795960           2.162586
        5.225564           0.846483           2.145053           0.846483           2.145053
        5.263157           0.877677           2.120657           0.877677           2.120657
        5.300752           0.889653           2.101642           0.889653           2.101642
        5.338346           0.890909           2.098609           0.890910           2.098610
        5.375940           0.893110           2.110618           0.893110           2.110618
        5.413534           0.898139           2.135506           0.898138           2.135505
        5.451128           0.914511           2.177161           0.914510           2.177161
        5.488721           0.955505           2.225537           0.955505           2.225536
        5.526316           1.019568           2.264294           1.019567           2.264294
        5.563910           1.098934           2.285476           1.098934           2.285475
        5.601503           1.184685           2.282086           1.184685           2.282086
        5.639097           1.259833           2.254781           1.259833           2.254781
        5.676692           1.316853           2.219758           1.316852           2.219758
        5.714285           1.364679           2.182743           1.364679           2.182743
        5.751880           1.396181           2.138021           1.396182           2.138021
        5.789474           1.399188           2.107664           1.399189           2.107664
        5.827067           1.400462           2.114730           1.400462           2.114730
        5.864661           1.427739           2.140561           1.427739           2.140561
        5.902255           1.470911           2.165109           1.470910           2.165108
        5.939849           1.523705           2.203237           1.523706           2.203237
        5.977444           1.615729           2.257090           1.615728           2.257090
        6.015037           1.762652           2.290656           1.762652           2.290656
        6.052631           1.940674           2.271835           1.940675           2.271835
        6.090225           2.122205           2.207420           2.122205           2.207420
        6.127820           2.317325           2.099366           2.317324           2.099366
        6.165413           2.511316           1.908360           2.511316           1.908360
        6.203007           2.635528           1.631853           2.635528           1.631853
        6.240601           2.649204           1.337830           2.649204           1.337830
        6.278195           2.593971           1.087952           2.593971           1.087951
        6.315789           2.517423           0.860874           2.517423           0.860874
        6.353383           2.392455           0.630322           2.392455           0.630323
        6.390977           2.188785           0.441076           2.188786           0.441076
        6.428571           1.947907           0.346222           1.947907           0.346222
        6.466165           1.732763           0.336954           1.732763           0.336954
        6.503759           1.567409           0.369702           1.567409           0.369702
        6.541353           1.440475           0.415000           1.440475           0.415000
        6.578947           1.337992           0.467190           1.337992           0.467190
        6.616541           1.260008           0.528586           1.260008           0.528586
        6.654135           1.210194           0.588669           1.210194           0.588669
        6.691729           1.180492           0.640376           1.180492           0.640376
        6.729323           1.169004           0.679512           1.169004           0.679512
        6.766917           1.164096           0.698215           1.164096           0.698215
        6.804511           1.154320           0.704118           1.154320           0.704118
        6.842104           1.138151           0.703835           1.138151           0.703835
        6.879699           1.116517           0.703768           1.116517           0.703768
        6.917293           1.093785           0.703781           1.093785           0.703781
        6.954887           1.067671           0.702774           1.067670           0.702774
        6.992481           1.035798           0.704519           1.035798           0.704519
        7.030074           1.001112           0.715629           1.001112           0.715629
        7.067669           0.972589           0.736828           0.972589           0.736828
        7.105263           0.955608           0.759905           0.955608           0.759905
        7.142857           0.943658           0.777258           0.943658           0.777258
        7.180451           0.929816           0.794809           0.929816           0.794809
        7.218045           0.920271           0.819067           0.920271           0.819067
        7.255639           0.922752           0.844809           0.922752           0.844810
        7.293232           0.935961           0.865161           0.935961           0.865161
        7.330826           0.958629           0.876032           0.958629           0.876032
        7.368421           0.984234           0.872903           0.984234           0.872903
        7.406014           1.010852           0.860185           1.010852           0.860185
        7.443608           1.040506           0.826963           1.040506           0.826963
        7.481203           1.049349           0.767958           1.049349           0.767958
        7.518797           1.023286           0.707257           1.023286           0.707257
        7.556391           0.971730           0.665257           0.971730           0.665257
        7.593984           0.910928           0.651793           0.910928           0.651793
        7.631578           0.861477           0.664135           0.861477           0.664135
        7.669173           0.834572           0.684651           0.834572           0.684651
        7.706767           0.825313           0.696230           0.825313           0.696230
        7.744360           0.820064           0.688496           0.820064           0.688496
        7.781955           0.796734           0.666238           0.796734           0.666238
        7.819549           0.750500           0.656127           0.750500           0.656127
        7.857142           0.704264           0.669854           0.704264           0.669854
        7.894736           0.671921           0.694209           0.671921           0.694209
        7.932330           0.649627           0.718392           0.649627           0.718392
        7.969924           0.633368           0.741904           0.633368           0.741904
        8.007519           0.623076           0.763034           0.623076           0.763034
        8.045113           0.616431           0.779302           0.616431           0.779301
        8.082706           0.608402           0.789214           0.608402           0.789214
        8.120299           0.592937           0.798953           0.592937           0.798953
        8.157894           0.575123           0.817246           0.575123           0.817246
        8.195488           0.563351           0.842317           0.563351           0.842317
        8.233082           0.560209           0.869124           0.560209           0.869125
        8.270677           0.565501           0.892228           0.565501           0.892228
        8.308270           0.573739           0.907999           0.573739           0.907999
        8.345864           0.580893           0.921036           0.580893           0.921036
        8.383458           0.592119           0.932879           0.592119           0.932879
        8.421052           0.607061           0.936658           0.607061           0.936658
        8.458646           0.619613           0.931509           0.619613           0.931509
        8.496240           0.625607           0.917933           0.625607           0.917933
        8.533834           0.618079           0.901385           0.618079           0.901385
        8.571428           0.599277           0.892635           0.599277           0.892635
        8.609021           0.577786           0.894604           0.577786           0.894604
        8.646616           0.558817           0.903958           0.558817           0.903958
        8.684210           0.542540           0.917123           0.542540           0.917123
        8.721804           0.527268           0.934425           0.527268           0.934425
        8.759398           0.515723           0.958771           0.515723           0.958771
        8.796992           0.514078           0.986498           0.514078           0.986498
        8.834586           0.520174           1.009971           0.520174           1.009971
        8.872180           0.528202           1.028951           0.528202           1.028951
        8.909773           0.536198           1.046417           0.536198           1.046417
        8.947368           0.545781           1.065557           0.545781           1.065557
        8.984962           0.561517           1.084623           0.561517           1.084623
        9.022555           0.581326           1.098026           0.581326           1.098026
        9.060150           0.599327           1.108149           0.599326           1.108149
        9.097744           0.618739           1.121240           0.618739           1.121240
        9.135338           0.646603           1.133977           0.646603           1.133977
        9.172933           0.681846           1.139582           0.681846           1.139582
        9.210526           0.721391           1.136729           0.721391           1.136729
        9.248120           0.765865           1.122013           0.765865           1.122013
        9.285713           0.808221           1.088043           0.808221           1.088043
        9.323307           0.834679           1.037766           0.834679           1.037766
        9.360902           0.840061           0.984873           0.840061           0.984873
        9.398496           0.830651           0.938173           0.830651           0.938173
        9.436090           0.810839           0.899211           0.810839           0.899211
        9.473684           0.783107           0.872006           0.783107           0.872006
        9.511277           0.756831           0.860412           0.756830           0.860413
        9.548872           0.744953           0.855915           0.744953           0.855915
        9.586466           0.743378           0.837983           0.743378           0.837983
        9.624060           0.728608           0.806625           0.728608           0.806625
        9.661654           0.697428           0.781629           0.697428           0.781629
        9.699247           0.661264           0.769016           0.661264           0.769016
        9.736841           0.626079           0.765151           0.626079           0.765151
        9.774436           0.591958           0.768090           0.591958           0.768090
        9.812029           0.561297           0.777955           0.561297           0.777955
        9.849624           0.535823           0.791391           0.535823           0.791391
        9.887218           0.513395           0.805973           0.513395           0.805973
        9.924811           0.491940           0.823825           0.491940           0.823825
        9.962406           0.474873           0.847212           0.474873           0.847212
        9.999999           0.465766           0.872862           0.465766           0.872862
        10.03759           0.463895           0.896678           0.463895           0.896678
        10.07519           0.467222           0.916792           0.467222           0.916793
        10.11278           0.473845           0.931463           0.473845           0.931463
        10.15038           0.479088           0.940458           0.479088           0.940458
        10.18797           0.480512           0.949228           0.480512           0.949228
        10.22556           0.483036           0.961369           0.483036           0.961369
        10.26316           0.490704           0.973004           0.490704           0.973004
        10.30075           0.501219           0.979996           0.501219           0.979996
        10.33835           0.511421           0.982825           0.511421           0.982825
        10.37594           0.520803           0.982403           0.520803           0.982403
        10.41353           0.528071           0.978743           0.528071           0.978743
        10.45113           0.532481           0.973972           0.532481           0.973972
        10.48872           0.535917           0.968033           0.535917           0.968033
        10.52631           0.536196           0.958780           0.536196           0.958780
        10.56391           0.529828           0.949511           0.529828           0.949511
        10.60150           0.518548           0.944626           0.518548           0.944626
        10.63910           0.505469           0.945475           0.505469           0.945475
        10.67669           0.493926           0.951815           0.493926           0.951815
        10.71428           0.485255           0.960633           0.485255           0.960633
        10.75188           0.477805           0.971975           0.477805           0.971975
        10.78947           0.474381           0.987247           0.474381           0.987247
        10.82707           0.477523           1.002289           0.477523           1.002289
        10.86466           0.484075           1.013957           0.484075           1.013957
        10.90225           0.491988           1.023623           0.491988           1.023623
        10.93985           0.501965           1.031797           0.501965           1.031797
        10.97744           0.514666           1.037513           0.514666           1.037513
        11.01504           0.529540           1.038198           0.529540           1.038198
        11.05263           0.542423           1.032511           0.542423           1.032511
        11.09022           0.550084           1.024553           0.550084           1.024553
        11.12782           0.555497           1.017424           0.555497           1.017424
        11.16541           0.559970           1.008896           0.559970           1.008896
        11.20301           0.561129           0.999208           0.561129           0.999208
        11.24060           0.559884           0.990779           0.559884           0.990779
        11.27819           0.557690           0.981769           0.557690           0.981768
        11.31579           0.551029           0.971857           0.551029           0.971857
        11.35338           0.538989           0.965631           0.538989           0.965630
        11.39098           0.525198           0.966450           0.525198           0.966450
        11.42857           0.514932           0.973439           0.514932           0.973439
        11.46616           0.510110           0.981942           0.510110           0.981942
        11.50376           0.508636           0.989001           0.508636           0.989001
        11.54135           0.508618           0.994272           0.508618           0.994272
        11.57895           0.508652           0.997494           0.508652           0.997494
        11.61654           0.506377           0.999877           0.506377           0.999877
        11.65413           0.502151           1.005393           0.502151           1.005393
        11.69173           0.500873           1.014641           0.500873           1.014641
        11.72932           0.503708           1.022971           0.503708           1.022971
        11.76692           0.507464           1.029318           0.507464           1.029318
        11.80451           0.511855           1.035334           0.511855           1.035334
        11.84210           0.518081           1.040193           0.518081           1.040193
        11.87970           0.524736           1.042006           0.524736           1.042006
        11.91729           0.529034           1.041703           0.529034           1.041703
        11.95489           0.530823           1.041924           0.530823           1.041924
        11.99248           0.531188           1.043437           0.531188           1.043437
        12.03007           0.529942           1.047160           0.529942           1.047160
        12.06767           0.529034           1.055638           0.529034           1.055639
        12.10526           0.532996           1.067778           0.532996           1.067778
        12.14286           0.542662           1.079129           0.542662           1.079129
        12.18045           0.555855           1.087833           0.555855           1.087833
        12.21804           0.571084           1.093454           0.571084           1.093454
        12.25564           0.587106           1.097583           0.587106           1.097583
        12.29323           0.607816           1.100541           0.607816           1.100541
        12.33083           0.633386           1.094881           0.633386           1.094881
        12.36842           0.654451           1.078613           0.654451           1.078613
        12.40601           0.667485           1.059101           0.667486           1.059101
        12.44361           0.675132           1.038470           0.675132           1.038470
        12.48120           0.675409           1.017663           0.675409           1.017663
        12.51880           0.669405           1.002183           0.669405           1.002183
        12.55639           0.662451           0.992907           0.662451           0.992907
        12.59398           0.656784           0.988432           0.656784           0.988432
        12.63158           0.655539           0.986593           0.655539           0.986594
        12.66917           0.657461           0.982518           0.657461           0.982518
        12.70677           0.659225           0.976283           0.659225           0.976283
        12.74436           0.660051           0.968328           0.660051           0.968327
        12.78195           0.657969           0.958949           0.657969           0.958949
        12.81955           0.650895           0.951418           0.650895           0.951418
        12.85714           0.642059           0.951128           0.642059           0.951128
        12.89474           0.639148           0.956398           0.639148           0.956398
        12.93233           0.642751           0.959219           0.642750           0.959219
        12.96992           0.645868           0.957727           0.645868           0.957727
        13.00752           0.646868           0.957613           0.646868           0.957613
        13.04511           0.650149           0.960368           0.650149           0.960368
        13.08271           0.658470           0.963595           0.658470           0.963595
        13.12030           0.673111           0.962903           0.673111           0.962903
        13.15789           0.689870           0.952485           0.689870           0.952485
        13.19549           0.700468           0.933853           0.700468           0.933853
        13.23308           0.703589           0.913524           0.703589           0.913524
        13.27067           0.700790           0.892437           0.700790           0.892436
        13.30827           0.688825           0.873112           0.688825           0.873112
        13.34586           0.670013           0.863902           0.670013           0.863902
        13.38346           0.654812           0.866240           0.654812           0.866240
        13.42105           0.648184           0.872007           0.648184           0.872007
        13.45864           0.646420           0.875943           0.646420           0.875943
        13.49624           0.647150           0.878878           0.647150           0.878878
        13.53383           0.651398           0.879610           0.651398           0.879610
        13.57143           0.656157           0.874792           0.656157           0.874792
        13.60902           0.655429           0.866958           0.655429           0.866958
        13.64662           0.650132           0.863289           0.650132           0.863289
        13.68421           0.645608           0.864580           0.645608           0.864580
        13.72180           0.643920           0.870226           0.643920           0.870226
        13.75940           0.649521           0.878389           0.649521           0.878389
        13.79699           0.662958           0.882445           0.662958           0.882445
        13.83459           0.679470           0.878826           0.679470           0.878826
        13.87218           0.694690           0.868518           0.694690           0.868518
        13.90977           0.707269           0.853536           0.707269           0.853536
        13.94737           0.716482           0.834727           0.716482           0.834727
        13.98496           0.721390           0.812858           0.721390           0.812858
        14.02256           0.720727           0.788993           0.720727           0.788993
        14.06015           0.713013           0.765297           0.713013           0.765297
        14.09774           0.698633           0.746050           0.698633           0.746050
        14.13534           0.681803           0.733349           0.681803           0.733349
        14.17293           0.665074           0.726146           0.665074           0.726146
        14.21053           0.650468           0.723263           0.650468           0.723263
        14.24812           0.637807           0.722620           0.637807           0.722620
        14.28571           0.626744           0.725234           0.626744           0.725234
        14.32331           0.620397           0.730894           0.620397           0.730894
        14.36090           0.619575           0.735483           0.619575           0.735483
        14.39849           0.621680           0.737594           0.621680           0.737594
        14.43609           0.626610           0.737599           0.626610           0.737599
        14.47368           0.634744           0.733247           0.634744           0.733247
        14.51128           0.642943           0.721714           0.642944           0.721714
        14.54887           0.646306           0.704049           0.646306           0.704049
        14.58646           0.642273           0.684295           0.642273           0.684295
        14.62406           0.631662           0.667018           0.631662           0.667018
        14.66165           0.617795           0.654040           0.617795           0.654040
        14.69925           0.602581           0.645073           0.602581           0.645073
        14.73684           0.587457           0.639881           0.587457           0.639881
        14.77444           0.573710           0.637998           0.573710           0.637998
        14.81203           0.562829           0.637851           0.562829           0.637851
        14.84962           0.553935           0.637428           0.553935           0.637429
        14.88722           0.546549           0.637013           0.546549           0.637013
        14.92481           0.541249           0.634629           0.541249           0.634629
        14.96240           0.534293           0.628491           0.534293           0.628491
        15.00000           0.522188           0.622521           0.522188           0.622521
        15.03759           0.507579           0.621620           0.507579           0.621620
        15.07519           0.495674           0.625239           0.495674           0.625239
        15.11278           0.487875           0.629031           0.487875           0.629031
        15.15037           0.481300           0.630677           0.481300           0.630677
        15.18797           0.473834           0.631620           0.473834           0.631620
        15.22556           0.465758           0.633267           0.465758           0.633267
        15.26316           0.457968           0.636160           0.457968           0.636160
        15.30075           0.451236           0.639630           0.451236           0.639630
        15.33835           0.445064           0.643279           0.445064           0.643279
        15.37594           0.439632           0.647562           0.439632           0.647562
        15.41353           0.435477           0.651998           0.435477           0.651998
        15.45113           0.432268           0.656216           0.432268           0.656216
        15.48872           0.430374           0.660167           0.430374           0.660167
        15.52632           0.429396           0.662574           0.429396           0.662574
        15.56391           0.427751           0.663975           0.427751           0.663975
        15.60150           0.425867           0.665522           0.425867           0.665522
        15.63910           0.424296           0.667000           0.424296           0.667000
        15.67669           0.422902           0.668240           0.422901           0.668240
        15.71428           0.421736           0.669564           0.421736           0.669564
        15.75188           0.421571           0.670846           0.421571           0.670846
        15.78947           0.422564           0.670791           0.422564           0.670791
        15.82707           0.423159           0.668626           0.423159           0.668626
        15.86466           0.421948           0.665645           0.421948           0.665645
        15.90226           0.419680           0.663728           0.419680           0.663728
        15.93985           0.418608           0.662648           0.418608           0.662648
        15.97744           0.419101           0.659763           0.419101           0.659763
        16.01504           0.418539           0.653972           0.418539           0.653972
        16.05263           0.415342           0.646586           0.415342           0.646586
        16.09023           0.408276           0.638881           0.408276           0.638881
        16.12782           0.397309           0.634200           0.397309           0.634200
        16.16541           0.385770           0.634458           0.385770           0.634458
        16.20301           0.376925           0.638209           0.376925           0.638209
        16.24060           0.371257           0.642358           0.371257           0.642359
        16.27819           0.367130           0.645907           0.367130           0.645907
        16.31579           0.364315           0.649037           0.364315           0.649037
        16.35338           0.362612           0.651107           0.362612           0.651107
        16.39098           0.361324           0.651836           0.361324           0.651836
        16.42857           0.359855           0.651247           0.359855           0.651247
        16.46616           0.357762           0.649416           0.357762           0.649416
        16.50376           0.353974           0.646247           0.353974           0.646247
        16.54135           0.347178           0.643634           0.347178           0.643634
        16.57895           0.338801           0.643719           0.338801           0.643719
        16.61654           0.330666           0.646607           0.330666           0.646607
        16.65413           0.324124           0.651951           0.324124           0.651951
        16.69173           0.320559           0.658512           0.320559           0.658512
        16.72932           0.320182           0.664178           0.320182           0.664178
        16.76692           0.321618           0.666796           0.321618           0.666796
        16.80451           0.321164           0.666217           0.321164           0.666217
        16.84210           0.317315           0.666804           0.317315           0.666804
        16.87970           0.314024           0.671032           0.314024           0.671032
        16.91729           0.314535           0.676426           0.314535           0.676426
        16.95489           0.318756           0.679527           0.318756           0.679527
        16.99248           0.324354           0.677835           0.324354           0.677835
        17.03008           0.327287           0.670996           0.327287           0.670996
        17.06767           0.324060           0.662636           0.324060           0.662636
        17.10526           0.316230           0.657935           0.316230           0.657935
        17.14285           0.308153           0.657725           0.308153           0.657725
        17.18045           0.301989           0.660150           0.301989           0.660150
        17.21804           0.298119           0.663247           0.298119           0.663247
        17.25564           0.295596           0.666054           0.295596           0.666054
        17.29323           0.294456           0.668788           0.294456           0.668788
        17.33083           0.294984           0.670105           0.294984           0.670105
        17.36842           0.295512           0.669169           0.295512           0.669169
        17.40601           0.294778           0.666843           0.294778           0.666843
        17.44361           0.292753           0.664276           0.292753           0.664276
        17.48120           0.290071           0.661664           0.290071           0.661664
        17.51880           0.286630           0.658503           0.286630           0.658503
        17.55639           0.281193           0.655016           0.281193           0.655016
        17.59398           0.273709           0.653227           0.273709           0.653227
        17.63158           0.265826           0.653744           0.265826           0.653744
        17.66917           0.258655           0.656324           0.258655           0.656324
        17.70677           0.253214           0.659840           0.253214           0.659841
        17.74436           0.248701           0.662886           0.248701           0.662886
        17.78195           0.244026           0.666042           0.244026           0.666042
        17.81955           0.239702           0.670021           0.239702           0.670021
        17.85714           0.236313           0.674444           0.236313           0.674444
        17.89474           0.233696           0.678821           0.233696           0.678821
        17.93233           0.231660           0.683171           0.231660           0.683171
        17.96992           0.230068           0.687376           0.230068           0.687377
        18.00752           0.228654           0.691908           0.228654           0.691908
        18.04511           0.228316           0.697357           0.228316           0.697357
        18.08271           0.230411           0.702790           0.230411           0.702790
        18.12030           0.234804           0.706109           0.234804           0.706109
        18.15789           0.239549           0.706179           0.239549           0.706179
        18.19549           0.242779           0.703565           0.242779           0.703565
        18.23308           0.243252           0.699763           0.243251           0.699763
        18.27068           0.241372           0.696994           0.241372           0.696994
        18.30827           0.239058           0.695801           0.239058           0.695801
        18.34586           0.237216           0.695261           0.237216           0.695261
        18.38346           0.235742           0.694436           0.235742           0.694436
        18.42105           0.233585           0.693092           0.233585           0.693092
        18.45864           0.230377           0.692585           0.230377           0.692585
        18.49624           0.227780           0.693532           0.227780           0.693532
        18.53383           0.226796           0.694155           0.226796           0.694155
        18.57143           0.225778           0.693216           0.225778           0.693216
        18.60902           0.223621           0.691988           0.223621           0.691988
        18.64661           0.221234           0.691227           0.221234           0.691227
        18.68421           0.219167           0.690024           0.219167           0.690024
        18.72180           0.216234           0.687596           0.216234           0.687596
        18.75940           0.211049           0.685059           0.211049           0.685059
        18.79699           0.203885           0.684273           0.203885           0.684273
        18.83459           0.196355           0.686068           0.196355           0.686068
        18.87218           0.189651           0.689820           0.189651           0.689820
        18.90977           0.184072           0.695085           0.184072           0.695085
        18.94737           0.180352           0.701504           0.180352           0.701504
        18.98496           0.178808           0.707774           0.178808           0.707774
        19.02256           0.178431           0.712952           0.178431           0.712952
        19.06015           0.178218           0.717584           0.178218           0.717584
        19.09774           0.178649           0.722409           0.178649           0.722409
        19.13534           0.180418           0.726853           0.180418           0.726853
        19.17293           0.183187           0.730022           0.183187           0.730022
        19.21053           0.186094           0.731708           0.186094           0.731708
