nbnd_1,nbnd_2,plot_x_nbnd,N_common_energy_points,rms
90,100,100,400,0.021816912
100,110,110,400,0.014910874
110,120,120,400,0.011027171
120,140,140,400,0.011680768
140,160,160,400,0.006200609
