nbnd_1,nbnd_2,N_common_energy_points,rms
90,100,400,0.025679881
90,110,400,0.038521409
90,120,400,0.043228843
90,140,400,0.044450761
90,160,400,0.044525221
100,110,400,0.014468260
100,120,400,0.020055222
100,140,400,0.021466674
100,160,400,0.021540527
110,120,400,0.006499642
110,140,400,0.007864625
110,160,400,0.007933610
120,140,400,0.001451299
120,160,400,0.001523020
140,160,400,0.000081646
