nbnd_1,nbnd_2,N_common_energy_points,rms
90,100,400,0.021816912
90,110,400,0.033727491
90,120,400,0.041305876
90,140,400,0.051108702
90,160,400,0.056806258
100,110,400,0.014910874
100,120,400,0.024857475
100,140,400,0.036132408
100,160,400,0.042180210
110,120,400,0.011027171
110,140,400,0.022549082
110,160,400,0.028632060
120,140,400,0.011680768
120,160,400,0.017837319
140,160,400,0.006200609
